 ,MioXL - Midi/USB/Channel/Gear Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,COLOR,,MioXL -  MAC STUDIO    #fbbc04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KEY -   ,,MioXL - MIX W DESK       #e0dd90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MioXM - CIRKLON MKII   #ead1dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MioXL - MAC PRO            #e6b8af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MioXL - KB ISLAND         #dd7e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MioXL - KB E                    #ea9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MioXM - MPC X                #eeadda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIX ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOCATION = RACK 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,Din Out (r),1,→,,,,,,,,,,,,,Yamaha SPX900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (r),2,→,,,,,,,,→,Eventide H3000 SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (r),3,→,,,,,,,,,,,,,,,Publison IM90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (r),4,→,,,,,,,,,,,Digitech 256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (r),5,→,,,,,,,,,,,,,,,,,,,,,,,,→,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,,,,,
,Din Out (r),6,→,,,,,,,BLAST PORT,→,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,→,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,,,,,
,Din Out (f),7,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),8,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),9,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),10,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),11,→,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),12,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),1,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),2,←,,,,,,,,←,Eventide H3000 SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),3,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),4,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),5,←,,,,,,,,,,,,,,,,,,,,,,,,←,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,Wall Panel DIN 5,,,,,,
,Din In (r),6,←,,,,,,,BLAST PORT,→,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,Wall Panel DIN 6,,,,,,
,Din In (f),7,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (f),8,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),1,↔,2,,,,,,,↔,Guest 1,,Guest 2,,Guest 3,,Guest 4,,Guest 5,,Guest 6,,Guest 7,,Guest 8,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),2,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
