,,,ROLAND,,,,,,,,,,,,OBERHEIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,Jupiter 8,,,,Jupiter-4,,,,MemoryMoog,,,,XPANDER,,,,MATRIX1000,,,,Roland Jupiter-6  ( Which MIDI Kit? ),,,,Korg PS-3300,,,,SCI Prophet 5 Rev 2 / 3.3 (which kit),,,,Oberheim OBX8,,,,Korg Wavestation ,,,,Kawai K5000r,,,,AKAI S612,,,,Kurzweil K2000R,,,,Korg  OPSIX,,,,x,,,,PS-3300,,,,VP-9000,,,,Korg DVP-1,,,,Digitech Studio Vocalist,,,,Synth 8,,,,,,,,Melborne,,,,C15,,,,3rd Wave,,,,ISE - NIN,,,,-,,,,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Midi Send/Receive,N/Y,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/,,,Midi Send/Receive,/
,,,,Channel Out/In,- /1,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/,,,Channel Out/In,/
CC,(general),,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes,,Value,Parameter,Notes
0,Bank Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rev 2 Kenton ,,,,Bank Select MSB,0–127,Selects program bank,,,Bank MSB,,,,,,,,,,,,,,,Bank Select MSB,0–127,Standard MIDI,,,,,,,,,,0-127,Bank Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Modulation,,,,,,,,,,,modulation wheel,,,,Mod Wheel ,accepts pitch bend,,,Mod Wheel ,accepts pitch bend,,,,,,,,,,Rev 3 tauntek,,,,Mod Box LFO2 Bend Amount,0–127,Modulation depth from pitch bend,,,Mod Wheel,,,,,,,0-127,Modulation,,,,,,,Modulation Wheel,Modulation ,Standard MIDI,,0–127,Modulation Wheel,Controls vibrato or other modulation effects,,,,,,0-127,Modulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Breath Controller,,,VCA and/or filter cutoff,"Midi mode (tap manual) 
preset 6 (adjust VCA slider)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undefined,—,,,,,controllers 1-95 are assignable to MIDI 1 and MIDI 2 Remapers in the Wavestation,,,,,,,,,,,,CC's 1-127 are assignable within the Kurzweil,,,,,,0–127,Breath Controller,Can be assigned to various parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage,0–127,Varies voice characteristics,,,,,,,,,,,,,,,,,,,,,,0–127,Foot Controller,Assignable to different functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Foot Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undefined,—,Placeholder,,,Foot Controller,,,,,,,,,,,,,,,,,,,0–127,Portamento Time,Adjusts the glide time between notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
