RTP LANE NUMBER,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
,,,,RTP.SYN 1.1,,SYN.2,,SYN.3,,SYN.4,,SYN.5,,SYN.6,,GUEST.1,,SEQ.1,,CTRL.1,,B.CLK.1,,B.CLK.2,,DRUM.1,,B.CLK.3,,EDIT.1,,MISC.FX 1,,CTRL.2,,CTRL.3,,CTRL 4,,CTRL.5,,CTRL.6,,CTRL.7,,GUEST.2,,,
,,,,1,,7,,5,,0,,6,,7,,0,,12,,16,,0,,0,,9,,16,,16,,2,,16,,16,,16,,16,,16,,16,,0,,,
MioXL MAC PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDI CHANNELS,Direction,,RTPSYN.1.1,,SYN 2,,SYN 3,,SYN 4,,SYN 5,,SYN 6,,GUEST.1,,MP.SEQ.1,,MP.CTRL.1,,B.CLK.1,,B.CLK.2,,RTP.DRUM 1,,B.CLK.3,,EDIT.1,,MISC.FX 1,,CTRL.2,,CTRL.3,,CTRL 4,,CTRL.5,,CTRL.6,,CTRL.7,,GUEST.2,,,
RTP GROUP,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
DAW USB PORT,,,,1,,2,,3,,4,,5,,6,,7,,8,,,,9,,10,,11,,12,,13,,14,,,,,,,,,,,,,,15,16,,
Initiator,,,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,,
bonjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,→,,,,,,,x,Keystep 1 drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,x,Keystep 2 cv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,Cheetah MS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,x,3rd Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,MKS80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,, ,D550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,Matrix1000w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,, ,TX816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,TX817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,TX818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,x,Prophet xl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock sources,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MioXL KB E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macpro
,MIDI CHANNELS,Direction,,RTP.SYN 1.1,,SYN 2,,SYN 3,,SYN 4,,SYN 5,,SYN 6,,GUEST.1,,KB.SEQ.1,,KB.E.CTRL.1.B,,B.CLK.1,,B.CLK.2,,RTP.DRUM.1,,B.CLK.3,,EDIT.1,,MISC.FX 1,,KB.E.CTRL.2.B,,KB.E.CTRL.3.B,,KB.E.CTRL.4.B,,KB.E.CTRL.5.B,,KB.E.CTRL.6.B,,KB.E.CTRL.7.B,,KB.E.GUEST,,,aux
RTP GROUP,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,mpc
DAW USB PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cirk
Initiator,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,,cr w 
bonjour,,,,,,,,,,,,,,,,,,,,BONJOUR,,,,,,,,,,,,,,BONJOUR,,BONJOUR,,BONJOUR,,BONJOUR,,BONJOUR,,BONJOUR,,BONJOUR,,,kb.e
,1,→,,Jupiter 8,,Squid 1,,,,,,,,,,,,Squid CV-1,,P5 Rev3,,,,,,,,,,,,,,Jupiter 8 (Sysex),,,,,,,,,,,,,,,key island
,2,,,OBX8,,Squid 2,,,,,,,,,,,,Squid CV-2,,,,,,,,,,,,,,,,,,OBX8,,,,,,,,,,,,,
,3,,,P5 rev2,,P5 Rev3,,,,,,,,,,,,Xox,,,,,,,,,,,,,,,,,,,,P5 rev2,,,,,,,,,,,
,4,,,Jupiter 6,,Xpander Zone1,,,,,,,,,,,,TD3,,,,,,,,,,,,,,,,,,,,,,Jupiter 6,,,,,,,,,
,5,,,Korg 770,,Xpander Zone2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,Pro One,,Xpander Zone3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,SH-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,Mono/Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,Odyssey MK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
