,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MioXL MAC PRO,MAC STUDIO,MioXM - CR W,MioXL KB E,MioXL KB ISLAND,MioXM - CIRKLON MKII ,MioXM - MPC X,MioXM - AUX PRO,,,,,,,,,
,,,,,,,BC Master in,,,,,,,,,,,
,Beatclock Distros,,,,,JLC / ERM1.3 Distro,ERM1.4 Distro,,3LX / ERM1.2 Distro,,,,,,,,,
,Conventional names,,,,,,,,,,,,,,,,,
1,SYN.1,RTP.SYN.1.1,GUEST.2.CIRK,,RTP.SYN 1.1,,GUEST.2.CIRK,SYN.1.MPC,ERM1.2.KB.E,,Rout To Locations using ERM-2 i o LS  in AUX PRO INPUT.      ,,"what this should be is sending ERM 1 , ERM 2, ERM 3 and ERM 4 to multiple locations that are then distro's from individual units. that way the AUX DISTRO wont need to change presets (as it only has 4). we are doing that from the circlon tho",,,,,
2,SYN 2,SYN 2,,,SYN.2,,ERM1-4.MP,SYN.2.MPC,ERM1.2.KB.I,,,,,,,,,
3,SYN 3,SYN.3,,,SYN.1.CIRK,SYN.3,ERM1.4.MS,SYN.3.MPC,ERM1.2.MP,,,,,,,,,
4,SYN 4,,MISC.FX.1.MPC,SYN.6.MPC,SYN.2.CIRK,SYN.3.CIRK,RTP.DRUM.1.CIRK,SYN.4.MPC,ERM1.2.CR.W,,,,,,,,,
5,SYN 5,SYN.5,GUEST.2.MPC,GUEST.1.MPC,SYN.1.MPC,SYN.3.MPC,SYN.5,SYN.5.MPC,,,,,,,,,,
6,SYN 6,SYN.6,,SYN 6,SYN.2.MPC,,SYN.5.MPC,SYN.6.MPC,ERM1.2.MS,,,,,,,,,
7,GUEST.1,GUEST.1,,GUEST.1,PERC.1.MPC,,MPC.BEATCLOCK,GUEST.1.MPC,SG-3LX.KB.E,,Rout To Locations using SG3LX i o LS  in AUX PRO INPUT,,,,,,SG-3LX.MS,
8,SEQ.1,SEQ.1,,,SEQ.1,,CIRK.SEQ.1.B,SEQ.1.MPC,SG-3LX.KB.I,,,,,ERM1.2.MP,,,,
9,CTRL.1,SYN.4.MPC,,CR.W.CTRL.1.B,KB.E.CTRL.1.B,KB.I.CTRL.1.B,CIRK.CTRL.1.B (SNTHX),CTRL.1.MPC,SG-3LX.MP,,,,,,,,,SG-3LX.MS
10,B.CLK.1,SG-3LX.MP,SG-3LX.MS,SG-3LX.CR.W,ERM1.2.KB.E,ERM1.2.KB.I,ERM1.4.KB.I,MISC.FX.1.MPC,,,,,,,,,,
11,B.CLK.2,ERM1.2.MP,ERM1.2.MS,ERM1.2.CR.W,SG-3LX.KB.E,SG-3LX.KB.I,ERM1.4.KB.E,GUEST.2.MPC,SG-3LX.CR.W,,,,,,,SG-3LX.MS,,
12,DRUM.1,ERM1-3.MP,ERM1.3.MS,ERM1.3.CR.W,ERM1.3.KB.E,ERM1.3.KB.I,ERM1.3 KB.I,MPC.BEATCLOCK,SG-3LX.MS,,,,,,,,,
13,B.CLK.3,ERM1-4 MP,ERM-4.MS,ERM1.4 CR.W,ERM1.4.KB.E,ERM1-4.KB.I,ERM1.4.CR.W,`,,,,,,,,,,
14,EDIT.1,JLC-MSB.1.MP,JLC-MSB.1.MS,JLC-MSB.1.CR.W,JLC-MSB.1.KB.E. Tx,JLC-MSB.1.CIRK Tx,JLC-MSB.1.CIRK Rx,,,,,,,,,,SG-3LX.MS,
15,MISC.FX 1,MISC.FX.1,RTP.MISC.FX.1,,SEQ.1.MPC,JLC-MSB.1.KB.E Rx,SYN.1.CIRK,,,,ERM BC-3 not yet routed,,,,,,,
16,CTRL.2,,,,KB.E.CTRL.2.B,JLC-MSB.1.MP Tx,SYN.2.CIRK,,,,,,,,,,,
17,CTRL.3,,,,KB.E.CTRL.3.B,JLC-MSB.1.CR.W Tx,SYN.3.CIRK,,,,,,,,,,,
18,CTRL.4,SYN.4.CIRK,,,KB.E.CTRL.4.B,JLC-MSB.1.MS Tx,SYN.4.CIRK,,,,ERM BC-4 not yet routed,,,,,,,
19,CTRL.5,,,SYN.6.CIRK,KB.E.CTRL.5.B,ERM1.3.KB.E,SYN.6.CIRK,,,,,,,,,,,
20,CTRL.6,SEQ.1.CIRK,,GUEST.1.CIRK,KB.E.CTRL.6.B,ERM1.3.MP,GUEST.1.CIRK,,,,,,Will there ever be a time when you want to send more than 1 (up to 5) beatclocks to one location simultaniously ? KB.E for example ,,,,,
21,CTRL.7,,,,KB.E.CTRL.7.B,ERM1.3.CR.W,SEQ.1.CIRK,,,,JLCooper MSB-1 not yet routed,,,,,,,
22,GUEST,GUEST.2,GUEST.2,,Hakken ,ERM1.3.MS,CTRL.1.CIRK,,,,,,,,,,,
,,,,,,,micFX1 Cirklon? ,,,,,,,,,,,
,,,,,,,guest2 cirk ??,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,DEVICE LOCAL,Logic CPU Device,RTP.MISC.FX.1,SYN.6 ,RTP.SYN.1.1,SYN.3,Cirklon Device,MPC Device,ERM Multiclck Device,,Cirklon MIO RTP not yet routed,,,,,,,
,,SYN.4 ,GUEST.2,GUEST.1,SYN.2,,SYN.5,,SG-3LX Device,,,,,,,,,
,,,,MISC.FX.1. where? ,SEQ.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Prophet 10 Bonjour,P5 Rev3 Bonjour,OpSix Bonjour,Synthex Bonjour,,,,Cirklon MKI freed up DIN Outs will rout BC-4 to KB.I and MACPRO locations,,,,,,,
,,,,,Jupiter 8 Bonjour,,,,,,,,,,,,,
,,,,,OBX8 Bonjour,,,,,,Cirklon MKI freed up DIN Out to KB.E will be repurposed to rout JL Audio back to MioXL for distrobution,,,,,,,
,,,,,P5 Rev 2 Bonjour,,,,,,,,,,,,,
,,,,,Jupiter 6 Bonjour,,,,,,"maybe get rid of ""i o"" in DIN name and just say ""ERM BC2 Loc"" or ""ERM-2 Location""",,,,,,,
,,,,,Jupiter 4 Bonjour,,,,,,,,,,,,,
,,,,,Memorymoog Bonjour,,,,,,"Swap SG-3lx and ERM-2 ""BC1"" and ""BC2"" names to match the ERM-1 #2 output?",,,,,,,
,,,,,Hakken Bonjour,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Add Tx Rx to all beatclock,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mark unused tracks as unused in RTP Names,,,,,,,
